"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","068","BOL","Bolivia, Plurinational State of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","11.63"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","068","BOL","Bolivia, Plurinational State of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","11.69"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","068","BOL","Bolivia, Plurinational State of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","11.77"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","068","BOL","Bolivia, Plurinational State of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","11.79"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","068","BOL","Bolivia, Plurinational State of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","11.8"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","068","BOL","Bolivia, Plurinational State of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2020","","","","11.8"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","068","BOL","Bolivia, Plurinational State of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","11.83"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","068","BOL","Bolivia, Plurinational State of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","11.6712670409004"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","068","BOL","Bolivia, Plurinational State of","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","11.7630683326447"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","070","BIH","Bosnia and Herzegovina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","6.31"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","070","BIH","Bosnia and Herzegovina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","6.32"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","070","BIH","Bosnia and Herzegovina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","6.26"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","070","BIH","Bosnia and Herzegovina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","6.32"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","070","BIH","Bosnia and Herzegovina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","6.28"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","070","BIH","Bosnia and Herzegovina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","6.36"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","070","BIH","Bosnia and Herzegovina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","6.21893741202627"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","070","BIH","Bosnia and Herzegovina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","6.16935999752307"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","070","BIH","Bosnia and Herzegovina","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","6.09763399371213"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","072","BWA","Botswana","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","7.6"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","072","BWA","Botswana","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","7.63"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","072","BWA","Botswana","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","7.64"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","072","BWA","Botswana","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","7.69"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","072","BWA","Botswana","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","7.68"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","072","BWA","Botswana","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2020","","","","7.68"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","072","BWA","Botswana","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","7.73"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","072","BWA","Botswana","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","7.55407665429797"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","072","BWA","Botswana","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","7.52929692852102"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","072","BWA","Botswana","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","7.52603191343963"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","076","BRA","Brazil","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","13.53"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","076","BRA","Brazil","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","11.1337017189201"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","076","BRA","Brazil","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","11.1767883954353"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","076","BRA","Brazil","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","12.032238599528"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","076","BRA","Brazil","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","13.53"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","076","BRA","Brazil","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","13.41"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","076","BRA","Brazil","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","13.38"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","076","BRA","Brazil","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","13.38"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","076","BRA","Brazil","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2020","","","","13.31"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","076","BRA","Brazil","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","13.29"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","084","BLZ","Belize","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","10.92"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","084","BLZ","Belize","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","10.95"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","084","BLZ","Belize","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","11.65"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","084","BLZ","Belize","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","11.93"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","084","BLZ","Belize","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","11.9"
